permalink,name,market,status,funding_total_usd
/organization/2houses,2houses,curated web,operating," 9,66,728 "
/organization/2nd-story-software-inc,"2nd Story Software, Inc.",software,acquired," 8,50,00,000 "
/organization/2nd-watch,2nd Watch,corporate it,operating," 3,76,44,420 "
/organization/2-ngage-u,2NGageU,mobile social,operating," 58,000 "
/organization/2nite2nite-net,2Nite2Nite.net,advertising,operating," 6,000 "
/organization/qlipso,2Peer (Qlipso),curated web,operating, -   
/organization/2sms,2sms,messaging,operating," 9,39,000 "
/organization/2theloo,2theloo,hospitality,operating, -   
/organization/2threads,2threads,art,operating," 3,00,000 "
/organization/2u,2U,software,operating," 9,58,75,000 "
/organization/2vancouver,2Vancouver,navigation,operating," 80,000 "
/organization/2web-technologies,2Web Technologies,software,acquired, -   
/organization/2win-solutions,2Win-Solutions,software,closed, -   
/organization/3-v-biosciences,3-V Biosciences,biotechnology,operating," 7,80,89,000 "
/organization/30-second-showcase,30 Second Showcase,photography,operating," 25,000 "
/organization/303-luxury-car-service,303 Luxury Car Service,transportation,operating, -   
/organization/312-capital,312 Capital,finance,operating," 5,00,000 "
/organization/31dover,31Dover,wine and spirits,operating," 22,74,716 "
/organization/3225-films,3225 films,news,operating, -   
/organization/33across,33Across,advertising,operating," 2,56,54,560 "
/organization/360cities,360Cities,maps,operating, -   
/organization/360fly-inc,"360fly, Inc.",consumer electronics,operating," 1,78,00,000 "
/organization/360guanxi,360Guanxi,life sciences,operating," 50,00,000 "
/organization/360imaging,360imaging,biotechnology,operating," 10,00,000 "
/organization/360incentives-com,360incentives.com,software,operating," 76,50,000 "
/organization/360learning,360Learning,corporate training,operating," 15,43,920 "
/organization/gazaro,360pi,artificial intelligence,operating," 41,00,000 "
/organization/360shop,360SHOP,enterprise software,operating," 16,23,640 "
/organization/360t,360T,finance,operating, -   
/organization/365-data-centers,365 Data Centers,services,operating," 1,60,00,000 "
/organization/365-docobites,365 docobites,entertainment,operating, -   
/organization/365-good-teacher,365 Good Teacher,finance,operating, -   
/organization/365-retail-markets,365 Retail Markets,software,operating, -   
/organization/365looks,365looks,fashion,operating," 73,047 "
/organization/house365-com,365net,mobile,operating," 22,03,975 "
/organization/365scores,365Scores,sports,operating," 67,00,000 "
/organization/365webcall,365webcall,enterprise software,operating, -   
/organization/36kr,36Kr,social media,operating," 15,73,976 "
/organization/37coins,37coins,bitcoin,operating," 25,000 "
/organization/37mhealth,37mhealth,mobile,operating," 16,29,549 "
/organization/382-communications,382 Communications,mobile,operating," 16,00,000 "
/organization/39-health,39 Health,health and wellness,operating," 37,50,000 "
/organization/3baysover,3BaysOver,online travel,operating," 17,19,583 "
/organization/3c-plus,3C Plus,web development,operating," 75,000 "
/organization/3ci,3CI,biotechnology,operating," 1,33,620 "
/organization/3clickemr-corporation,3ClickEMR Corporation,electronic health records,closed," 5,00,000 "
/organization/3clogic,3CLogic,customer service,operating," 57,40,000 "
/organization/3d-biomatrix,3D Biomatrix,biotechnology,operating," 14,65,000 "
/organization/3d-control-systems,3D Control Systems,enterprise software,operating," 28,000 "
/organization/3d-future-vision-ii,3D FUTURE VISION II,games,closed," 5,03,000 "
/organization/3d-hubs,3D Hubs,3d printing,operating," 45,00,000 "
/organization/3d-industri-es,3D Industri.es,3d,operating," 12,00,000 "
/organization/3d-product-imaging,3D Product Imaging,3d technology,operating," 2,40,000 "
/organization/3d-robotics,3D Robotics,drones,operating," 3,50,00,000 "
/organization/3d-sports-technology,3D Sports Technology,software,operating," 9,09,940 "
/organization/3d-systems,3D Systems,software,operating," 16,95,00,000 "
/organization/3d-vision-systems,3d Vision Systems,hardware + software,operating," 1,50,000 "
/organization/3dbin,3DBin,e-commerce,operating," 4,00,000 "
/organization/3dcart-shopping-cart-software,3dCart Shopping Cart Software,e-commerce,operating," 12,50,000 "
/organization/3derm-systems,3Derm Systems,physicians,operating, -   
/organization/3discovered,3Discovered,automotive,operating, -   
/organization/3divi-company,3DiVi Company,software,operating," 26,70,000 "
/organization/3dlt-com,3DLT.com,retail,operating," 5,30,000 "
/organization/3dmgame,3DMGAME,video,operating," 7,32,064 "
/organization/3dplusme,3dplusme,3d printing,operating," 2,00,000 "
/organization/3dr-laboratories,3DR Laboratories,biotechnology,operating," 74,36,500 "
/organization/3dsoc,3DSoC,mobile,operating," 20,65,000 "
/organization/3dvista,3DVista,curated web,operating," 4,75,000 "
/organization/3floz-com,3FLOZ,health and wellness,operating," 7,50,000 "
/organization/3funnel,3Funnel,business analytics,operating, -   
/organization/3g-multimedia,3G Multimedia,mobile,operating," 17,00,000 "
/organization/3guppies,3Guppies,music,operating," 2,00,00,000 "
/organization/3gv8-international-inc,3GV8 International Inc,mobile,operating," 7,46,185 "
/organization/3i-systems,3i Systems,semiconductors,closed," 1,37,08,150 "
/organization/3jam,3Jam,messaging,operating," 40,00,000 "
/organization/3keyit,3KeyIt,software,operating, -   
/organization/3leaf,3Leaf,web hosting,acquired," 6,50,00,000 "
/organization/3lm,3LM,android,acquired," 15,00,000 "
/organization/three-nod-group,3Nod,enterprise software,operating," 53,00,000 "
/organization/3p-biopharmaceuticals,3P Biopharmaceuticals,biotechnology,operating," 47,83,500 "
/organization/3pillar-global,3Pillar Global,software,operating," 2,59,20,000 "
/organization/3play-media,3Play Media,software,operating," 10,11,601 "
/organization/3point5-com,3point5.com,curated web,operating," 15,00,000 "
/organization/3power-energy-group,3POWER ENERGY GROUP,clean technology,operating," 5,00,00,000 "
/organization/3rd-planet,3rd Planet,curated web,operating," 15,00,000 "
/organization/3rdkind,3rdKind,game,operating," 10,00,000 "
/organization/3roam,3ROAM,mobile,operating," 13,94,250 "
/organization/3scale,3scale,developer apis,operating," 50,00,000 "
/organization/3scan,3Scan,biotechnology,operating," 3,90,000 "
/organization/3seventy,3seventy,software,operating," 20,00,000 "
/organization/3sourcing,3Sourcing,human resources,operating, -   
/organization/3sp-group,3SP Group,manufacturing,operating," 1,37,80,000 "
/organization/3sun,3sun,clean technology,operating," 1,51,52,514 "
/organization/3ten8,3TEN8,software,operating," 10,00,000 "
/organization/3tier-environmental-forecast-group,3TIER,clean technology,acquired," 1,50,00,000 "
/organization/3touch,3Touch,software,closed," 2,72,000 "
/organization/3v-transaction-services,3V Transaction Services,online shopping,operating," 2,55,00,000 "
/organization/3vr-security,3VR,security,operating," 5,65,67,194 "
/organization/3x-systems,3X Systems,flash storage,operating," 33,93,925 "
/organization/3yy-game-platform,3yy game platform,video,operating," 1,63,934 "
/organization/4-animals-alsterscience-gmbh,4 Animals AlsterScience GmbH,specialty foods,operating, -   
/organization/4-the-stars,4 the stars,networking,operating," 1,000 "
/organization/4-tell,4-Tell,e-commerce,operating," 22,34,979 "
/organization/404-found,404 Found!,enterprise software,operating," 62,46,800 "
/organization/405labs,405Labs,machine learning,operating," 81,000 "
/organization/40billion-com,40billion.com,entrepreneur,operating," 10,50,000 "
/organization/410-labs,410 Labs,messaging,operating," 7,50,000 "
/organization/41st-parameter,41st Parameter,security,acquired," 3,80,64,570 "
/organization/42,42,enterprise software,operating," 8,00,000 "
/organization/422-group,422 Group,software,operating," 10,00,000 "
/organization/42floors,42Floors,commercial real estate,operating," 1,74,00,000 "
/organization/42matters-ag,42matters AG,promotional,operating, -   
/organization/42networks,42Networks,web hosting,acquired," 22,58,720 "
/organization/43things,"43 Things, The Robot Co-op",software,operating, -   
/organization/46elks,46elks,mobile,operating," 4,85,610 "
/organization/480-biomedical,480 Biomedical,biotechnology,operating," 3,79,56,999 "
/organization/48domain,48domain,web design,operating, -   
/organization/490-entertainment,490 Entertainment,games,operating," 4,50,000 "
/organization/4-33-creative-lab,4:33 Creative Lab,game,operating," 10,00,00,000 "
/organization/4blox,4Blox,software,closed, -   
/organization/4c-insights,4C Insights,analytics,operating, -   
/organization/4cable-tv,4Cable TV,clean technology,operating," 20,900 "
/organization/4d-energetics,4D Energetics,clean technology,operating," 11,60,000 "
/organization/4dk-technologies,4DK Technologies,mobile,operating," 33,78,975 "
